subclass_id_label,AllenRegionRate,AllenRegionRateTop3,MajorRegionRate,MajorRegionRateTop3
130 LHA Pmch Glut,HY:0.562162162162162;HY LZ:0.42972972972973;TH:0.00540540540540541;MB:0.0027027027027027,HY:0.562162162162162;HY LZ:0.42972972972973;TH:0.00540540540540541,HY:0.991891891891892;TH:0.00540540540540541;MB:0.0027027027027027,HY:0.991891891891892;TH:0.00540540540540541;MB:0.0027027027027027
131 LHA-AHN-PVH Otp Trh Glut,HY:0.748474576271186;HY LZ:0.171525423728814;CNU:0.0508474576271186;STR:0.0203389830508475;TH:0.00474576271186441;CTXsp:0.00271186440677966;MB:0.000677966101694915;PL-ILA-ORB:0.000677966101694915,HY:0.748474576271186;HY LZ:0.171525423728814;CNU:0.0508474576271186,HY:0.92;CNU:0.0508474576271186;STR:0.0203389830508475;TH:0.00474576271186441;OLF:0.00271186440677966;Isocortex:0.000677966101694915;MB:0.000677966101694915,HY:0.92;CNU:0.0508474576271186;STR:0.0203389830508475
132 AHN-RCH-LHA Otp Fezf1 Glut,HY:0.753536857781087;HY LZ:0.220774385703649;TH:0.0122859270290395;CNU:0.0104244229337305;STR:0.00186150409530901;MB:0.00111690245718541,HY:0.753536857781087;HY LZ:0.220774385703649;TH:0.0122859270290395,HY:0.974311243484736;TH:0.0122859270290395;CNU:0.0104244229337305;STR:0.00186150409530901;MB:0.00111690245718541,HY:0.974311243484736;TH:0.0122859270290395;CNU:0.0104244229337305
133 PVH-SO-PVa Otp Glut,HY:0.871794871794872;HY LZ:0.0922177237966712;STR:0.0224921277552857;TH:0.0087719298245614;CNU:0.00472334682860999,HY:0.871794871794872;HY LZ:0.0922177237966712;STR:0.0224921277552857,HY:0.964012595591543;STR:0.0224921277552857;TH:0.0087719298245614;CNU:0.00472334682860999,HY:0.964012595591543;STR:0.0224921277552857;TH:0.0087719298245614
134 PH-ant-LHA Otp Bsx Glut,HY:0.845413363533409;HY LZ:0.146659116647792;TH:0.00509626274065685;MB:0.00169875424688562;STR:0.000566251415628539;MY:0.00028312570781427;PONS:0.00028312570781427,HY:0.845413363533409;HY LZ:0.146659116647792;TH:0.00509626274065685,HY:0.9920724801812;TH:0.00509626274065685;MB:0.00169875424688562;STR:0.000566251415628539;MY:0.00028312570781427;Pons:0.00028312570781427,HY:0.9920724801812;TH:0.00509626274065685;MB:0.00169875424688562
135 STN-PSTN Pitx2 Glut,HY:0.495994659546061;HY LZ:0.437249666221629;MB:0.0627503337783712;TH:0.00333778371161549;STR:0.000667556742323097,HY:0.495994659546061;HY LZ:0.437249666221629;MB:0.0627503337783712,HY:0.93324432576769;MB:0.0627503337783712;TH:0.00333778371161549;STR:0.000667556742323097,HY:0.93324432576769;MB:0.0627503337783712;TH:0.00333778371161549
136 PMv-TMv Pitx2 Glut,HY:0.940298507462687;HY LZ:0.057910447761194;MB:0.00119402985074627;TH:0.000597014925373134,HY:0.940298507462687;HY LZ:0.057910447761194;MB:0.00119402985074627,HY:0.998208955223881;MB:0.00119402985074627;TH:0.000597014925373134,HY:0.998208955223881;MB:0.00119402985074627;TH:0.000597014925373134
137 PH-an Pitx2 Glut,HY:0.993174061433447;HY LZ:0.00511945392491468;MB:0.00170648464163823,HY:0.993174061433447;HY LZ:0.00511945392491468;MB:0.00170648464163823,HY:0.998293515358362;MB:0.00170648464163823,HY:0.998293515358362;MB:0.00170648464163823;
138 PH Pitx2 Glut,HY:0.777358490566038;TH:0.0913207547169811;MB:0.0747169811320755;HY LZ:0.0513207547169811;OLF:0.00150943396226415;PONS:0.00150943396226415;STR:0.00150943396226415;CTXsp:0.000754716981132075,HY:0.777358490566038;TH:0.0913207547169811;MB:0.0747169811320755,HY:0.828679245283019;TH:0.0913207547169811;MB:0.0747169811320755;OLF:0.00226415094339623;Pons:0.00150943396226415;STR:0.00150943396226415,HY:0.828679245283019;TH:0.0913207547169811;MB:0.0747169811320755
139 PH-LHA Foxb1 Glut,HY:0.584444444444444;HY LZ:0.343333333333333;MB:0.0611111111111111;TH:0.00611111111111111;STR:0.00333333333333333;CNU:0.00166666666666667,HY:0.584444444444444;HY LZ:0.343333333333333;MB:0.0611111111111111,HY:0.927777777777778;MB:0.0611111111111111;TH:0.00611111111111111;STR:0.00333333333333333;CNU:0.00166666666666667,HY:0.927777777777778;MB:0.0611111111111111;TH:0.00611111111111111
140 PMd-LHA Foxb1 Glut,HY:0.795602605863192;HY LZ:0.201954397394137;TH:0.00162866449511401;STR:0.000814332247557003,HY:0.795602605863192;HY LZ:0.201954397394137;TH:0.00162866449511401,HY:0.997557003257329;TH:0.00162866449511401;STR:0.000814332247557003,HY:0.997557003257329;TH:0.00162866449511401;STR:0.000814332247557003
141 PH-SUM Foxa1 Glut,HY:0.900048995590397;TH:0.0553650171484566;MB:0.0328270455658991;HY LZ:0.00930916217540421;STR:0.00244977951984321,HY:0.900048995590397;TH:0.0553650171484566;MB:0.0328270455658991,HY:0.909358157765801;TH:0.0553650171484566;MB:0.0328270455658991;STR:0.00244977951984321,HY:0.909358157765801;TH:0.0553650171484566;MB:0.0328270455658991
