clu.sa2,size,sa1_ratio,AllenAnnot,AllenAnnot_quality,AllenAnnot_ratio,L3Annot,L3Annot_quality,L3Annot_ratio,L2Annot,L2Annot_quality,L2Annot_ratio,class,class_quality,class_ratio,mainclass,mainclass_quality,mainclass_ratio
30-5-2,143,0.82,Golgi_Gly-Gaba,high,0.98,GOLGlyGA2,high,0.98,CBGA,high,0.99,Gaba;Gly,high,0.98,GABA,high,0.99
30-5-1,258,0.91,DCO_Il22_Gly-Gaba,high,0.91,GOLGlyGA1,high,0.89,CBGA,high,0.97,Gaba;Gly,high,0.98,GABA,high,0.99
30-6-1,357,0.98,CB_MLI_Cdh22_Gaba,high,0.78,CBGLYGA1,high,0.78,CBGA,high,0.99,Gaba,high,0.98,GABA,high,0.99
30-7-1,212,0.69,CB_Purkinje_Gaba,high,1,PURKGA3,high,1,PURKGA,high,1,Gaba,high,1,GABA,high,1
30-8-2,46,0.78,CB_Purkinje_Gaba,high,1,PURKGA3,high,1,PURKGA,high,1,Gaba,high,1,GABA,high,1
30-8-1,61,0.85,CB_Purkinje_Gaba,high,1,PURKGA3,high,1,PURKGA,high,1,Gaba,high,1,GABA,high,1
31-1-1,1858,0.73,PG-TRN-LRN_Fat2_Glut,high,1,PTLGL1,high,1,HBGL,high,1,Glut,high,1,GLUT,high,1
31-1-2,1948,0.82,PG-TRN-LRN_Fat2_Glut,high,1,PTLGL1,high,1,HBGL,high,1,Glut,high,1,GLUT,high,1
31-2-3,212,0.54,PG-TRN-LRN_Fat2_Glut,high,1,PTLGL1,high,1,HBGL,high,1,Glut,high,1,GLUT,high,1
31-2-1,688,0.84,PG-TRN-LRN_Fat2_Glut,high,0.97,PTLGL1,high,0.97,HBGL,high,0.97,Glut,high,1,GLUT,high,1
31-2-4,152,0.71,PG-TRN-LRN_Fat2_Glut,high,0.99,PTLGL1,high,0.99,HBGL,high,0.99,Glut,high,1,GLUT,high,1
31-2-2,458,0.8,PG-TRN-LRN_Fat2_Glut,high,1,PTLGL1,high,1,HBGL,high,1,Glut,high,1,GLUT,high,1
32-1-2,1632,0.95,RT_Gnb3_Gaba,high,0.98,THGA3,medium,0.62,THGA,high,0.98,Gaba,high,1,GABA,high,1
32-1-3,1385,0.94,RT_Gnb3_Gaba,high,1,THGA2,high,0.81,THGA,high,1,Gaba,high,1,GABA,high,1
32-1-1,2271,0.97,RT_Gnb3_Gaba,high,0.99,THGA4,low,0.3,THGA,high,0.99,Gaba,high,1,GABA,high,1
32-1-4,543,0.97,RT_Gnb3_Gaba,high,0.99,THGA9,high,0.74,THGA,high,0.99,Gaba,high,1,GABA,high,1
32-2-2,145,0.99,PVH-PVi_Six3_Prox1_Gaba,high,0.82,Six3PVHPViGA1,high,0.82,HYGLGA,high,0.82,Gaba,high,1,GABA,high,1
32-2-1,165,0.96,PVH-PVi_Six3_Prox1_Gaba,high,0.72,Six3PVHPViGA1,high,0.72,HYGLGA,high,0.72,Gaba,high,1,GABA,high,1
33-1-2,1002,0.83,Endo_NN,high,1,VEC2,medium,0.51,VEC,high,1,NN,high,1,NN,high,1
33-1-1,3767,0.93,Endo_NN,high,1,VEC1,high,0.93,VEC,high,1,NN,high,1,NN,high,1
33-2-1,355,0.88,Endo_NN,high,1,VEC4,high,0.96,VEC,high,1,NN,high,1,NN,high,1
33-3-2,100,0.95,Endo_NN,high,1,VEC3,high,0.93,VEC,high,1,NN,high,1,NN,high,1
33-3-1,198,0.91,Endo_NN,high,0.97,VEC3,high,0.96,VEC,high,0.97,NN,high,1,NN,high,1
34-1-1,2739,0.96,OT_D3_Folh1_Gaba,high,1,MXD1,high,0.98,MXDGA,high,1,Gaba,high,1,GABA,high,1
34-1-2,1426,0.97,OT_D3_Folh1_Gaba,high,1,MXD1,high,0.98,MXDGA,high,1,Gaba,high,1,GABA,high,1
34-2-1,636,0.89,OT_D3_Folh1_Gaba,high,0.97,OTGA1,high,0.79,MXDGA,high,0.97,Gaba,high,1,GABA,high,1
35-1-1,767,0.91,MH_Tac2_Glut,high,0.99,MHGL2,high,0.98,MHGL,high,0.99,Glut,high,0.98,GLUT,high,0.99
35-1-2,489,0.96,MH_Tac2_Glut,high,0.99,MHGL2,high,0.96,MHGL,high,0.99,Glut,high,0.98,GLUT,high,1
